"GID_0","frm_sys","NAME_0","area_sq_km","rural_pop","cropland_area_ha","rural_pop_density_sq_km","cropland_ha_capita"
"MDG","9. Maize mixed","Madagascar",123362.919097192,8265593.85901654,1570759.84179992,67.0022557791818,0.190035933121304
"MEX","Coastal plantation and mixed","Mexico",128277.061070539,8384868.62182126,6602069.21207912,65.3653003260688,0.787378969170431
"MEX","Dryland mixed","Mexico",127975.193713483,2201887.78611052,1476864.89293612,17.2055827556722,0.670726683826561
"MEX","Maize-beans (Mesoamerica)","Mexico",408584.030831164,32007505.3530436,8338239.09917809,78.3376317667926,0.260508871503952
"MEX","Pastoral","Mexico",1111497.04067587,11083715.8850436,14378014.4894921,9.97188069731959,1.29721969045543
"MLI","11. Agro-pastoral","Mali",207895.256339007,8152289.39812559,7552691.44418622,39.213445951994,0.926450359566819
"MLI","12. Pastoral","Mali",164206.566865202,2785617.06326095,1788692.90946269,16.9641026935767,0.642117300706357
"MLI","13. Arid pastoral-oases","Mali",725623.192766945,607886.101062909,277734.140005128,0.837743483287681,0.45688516240049
"MLI","8. Cereal-root crop mixed","Mali",102816.308531361,3633656.39027935,3936131.16740973,35.341245393682,1.08324253716988
"MMR","Highland extensive mixed","Myanmar",184943.387846074,6456782.03488448,1638494.4859199,34.9122080550313,0.253763326230853
"MMR","Lowland rice","Myanmar",84549.3625779384,13290711.482916,6127211.66684542,157.194697602415,0.461014572073241
"MMR","Sparse (forest)","Myanmar",34567.1505018659,131143.878085859,6820.70849766488,3.79388743884978,0.05200935489493
"MMR","Upland intensive mixed","Myanmar",229534.646466464,13696366.0960583,7528193.79629025,59.6701469991781,0.549648990359333
"MNG","Pastoral","Mongolia",2046.37159520615,804.360878442414,54278.849799698,0.393066870321459,67.4807182378201
"MNG","Sparse (arid)","Mongolia",1747.86276227124,1143.44138112152,1390.06213403912,0.654194028160249,1.2156828998752
"MNG","Sparse (forest)","Mongolia",183.475637445725,790.603031165898,17328.8231984444,4.30903547834666,21.9184881860238
"MOZ","11. Agro-pastoral","Mozambique",112864.422823107,1240039.14115279,3388968.6700813,10.9869798660673,2.73295298318631
"MOZ","9. Maize mixed","Mozambique",604261.867190159,20533703.0609089,20286451.7966677,33.9814642886392,0.987958759143065
"MRT","12. Pastoral","Mauritania",138541.789589819,1761477.7747039,1123229.35531167,12.714414761922,0.637663086893325
"MRT","13. Arid pastoral-oases","Mauritania",880791.312509358,741811.227744398,207171.992720487,0.842209973246661,0.279278588638282
"MWI","14. Artisanal fishing","Malawi",29571.3675806986,1535075.53626031,334961.432211307,51.9108739922554,0.21820517902808
"MWI","9. Maize mixed","Malawi",88457.1852621453,14497703.6316716,3567902.28524932,163.89514982539,0.246101201672718
"MYS","Sparse (forest)","Malaysia",58384.6547781268,745620.006974556,365804.892244028,12.7708215422025,0.490604984874703
"MYS","Tree crop-mixed","Malaysia",199124.187336173,12740627.8231305,4267662.14492124,63.9833261522424,0.334964823097126
"MYS","Upland intensive mixed","Malaysia",48307.5107909355,2097846.12252676,653657.217242861,43.4269141211971,0.3115849204686
"NAM","11. Agro-pastoral","Namibia",174830.811599814,1119607.39054712,516858.989710874,6.40394779559731,0.46164306709185
"NAM","12. Pastoral","Namibia",371007.370746261,466263.888882393,47634.534253682,1.25675101264034,0.102162177662652
"NAM","13. Arid pastoral-oases","Namibia",274162.981097837,137351.176890579,4992.94218066733,0.500983671612338,0.0363516519748861
"NER","11. Agro-pastoral","Niger",127864.856643219,12871952.4561977,8188251.8592075,100.668415029114,0.636131300754216
"NER","12. Pastoral","Niger",270737.614416873,6975799.27622791,5577777.42537248,25.76590360838,0.799589725062819
"NER","13. Arid pastoral-oases","Niger",767821.156400433,714856.254642036,52271.6154618596,0.931019220665008,0.0731218550896426
